customer_id,region,signup_days_ago,loyalty_score
1,North,607,0.24395464376443093
2,West,433,0.28406091873844963
3,South,860,0.3902720399385139
4,West,722,0.29864681446248165
5,Central,819,0.41835336214606494
6,East,448,0.49963164721546416
7,East,96,0.3039632841398589
8,Central,513,0.15089426689933477
9,West,852,0.3293798647231175
10,North,180,0.5237398684560446
11,West,865,0.16127411465867025
12,East,36,0.3274650438666328
13,West,564,0.48761242462451476
14,East,838,0.21620560433097472
15,South,213,0.29178582562220173
16,West,263,0.22819733188848898
17,North,732,0.15634583241166214
18,Central,332,0.14563365400354747
19,West,600,0.3281252531586547
20,Central,129,0.313299117387217
21,North,614,0.32894420762061183
22,East,476,0.16357224331793252
23,North,465,0.41305495459492536
24,South,671,0.11293331963858236
25,South,419,0.3648103431760136
26,East,626,0.29892066136433687
27,East,400,0.09624516671128007
28,Central,774,0.395987313395504
29,South,513,0.25349054600379056
30,South,279,0.6281818928514328
31,West,794,0.22661914083185933
32,South,303,0.5606250264600108
33,West,849,0.1640564553357773
34,West,870,0.0688624480669468
35,West,515,0.5079425083905975
36,West,427,0.04625077045058682
37,West,261,0.11893728837457813
38,Central,756,0.43580332116414594
39,North,263,0.24392524862993042
40,East,562,0.2768931445268666
41,West,729,0.479835745865537
42,North,187,0.4232122092470457
43,East,180,0.2031280864899692
44,West,862,0.052897264407406976
45,North,889,0.15792929255959193
46,South,312,0.17389174406264576
47,West,232,0.4552325047221421
48,North,588,0.5640587698096096
49,North,537,0.08919630954948148
50,West,251,0.2339890354013085
51,West,217,0.5450425599776015
52,East,530,0.2092531689413234
53,South,269,0.3996442644059915
54,North,500,0.3734145063194637
55,West,628,0.3619444339374875
56,South,257,0.21604299064489343
57,Central,527,0.12510978300763198
58,West,890,0.26730226900100523
59,North,497,0.3925602709342212
60,West,152,0.05128730414767465
61,Central,669,0.6816644924045036
62,Central,415,0.024211150100058833
63,West,653,0.04150542797091383
64,North,57,0.11519921241583758
65,West,649,0.19455375389612842
66,West,623,0.26448596600444013
67,East,33,0.2562274533820433
68,South,432,0.2816921886346191
69,Central,438,0.16759708002585516
70,East,517,0.5912049948167846
71,South,566,0.20750380004764835
72,South,637,0.25345658923641035
73,South,824,0.10313299175986462
74,East,694,0.24122872836060696
75,South,300,0.5120450375439777
76,East,870,0.5349037096546614
77,North,446,0.4259009638056911
78,South,781,0.2852554767664321
79,North,452,0.24787248292333505
80,South,311,0.4316679645245102
81,South,658,0.1970520448002358
82,South,662,0.37517806759442723
83,West,134,0.30607302242294726
84,East,96,0.30324768504005073
85,West,689,0.48446557454412287
86,North,148,0.09097264733509326
87,East,429,0.325338840592838
88,North,429,0.6046215741333603
89,East,412,0.22808291410575965
90,West,429,0.311867577054864
91,West,857,0.27347695300348757
92,East,470,0.21105905693146867
93,South,784,0.06881685718489745
94,South,443,0.1078420704249405
95,Central,440,0.3749653616765385
96,North,587,0.8163422381037169
97,North,233,0.12357063241739781
98,North,860,0.1408222075266004
99,Central,840,0.33763164232582527
100,Central,180,0.3193693559984723
101,South,157,0.37477326653094034
102,North,340,0.33338728049763183
103,West,195,0.16738465523547452
104,South,94,0.2863602886983326
105,North,733,0.35683426641709576
106,East,203,0.5581949104795468
107,East,350,0.2406864018990516
108,South,888,0.2521283849205236
109,West,377,0.5635616256451391
110,West,64,0.12932092824676783
111,East,241,0.46826207346279874
112,North,215,0.1830446419482492
113,North,513,0.35466815032203375
114,Central,401,0.31527514788872324
115,North,96,0.12758667085044484
116,South,284,0.19196946073904333
117,North,437,0.28413911856577007
118,South,504,0.11436165842242949
119,East,393,0.1495061040879871
120,South,891,0.3459052377387791
121,West,457,0.261017620339726
122,South,642,0.2448553811054104
123,West,527,0.2822857856577212
124,West,383,0.21734877498512223
125,South,54,0.25852184560859987
126,West,624,0.24720679593541348
127,Central,777,0.13592776931001252
128,North,788,0.5568774544154433
129,West,720,0.6676802830977464
130,West,229,0.0676713353847233
131,West,422,0.3172040452226466
132,North,653,0.5205721832162397
133,North,666,0.32544045492075485
134,South,564,0.4526504893754895
135,North,72,0.24812650167957623
136,South,668,0.0892215885774973
137,Central,522,0.04680098181556564
138,South,103,0.32650901432198964
139,South,498,0.23386105457965312
140,South,667,0.29329167709047915
141,East,843,0.32584569387566037
142,West,715,0.12513738089299023
143,Central,257,0.24815900109876296
144,East,627,0.41876730875098594
145,South,617,0.5315500907658868
146,North,201,0.28499117214666503
147,Central,752,0.49469960814466146
148,South,170,0.17079762547612207
149,South,682,0.09770090633480621
150,East,672,0.05164548490209507
151,North,866,0.32812821320230834
152,South,593,0.1718601194187228
153,Central,92,0.23265379937489988
154,North,885,0.12985766029823903
155,South,363,0.09779652045736298
156,North,425,0.11861578841183525
157,South,784,0.4443441547398961
158,Central,229,0.18035483743455097
159,West,606,0.3802816196857207
160,Central,699,0.06696152756438149
161,Central,490,0.2290073404533058
162,West,681,0.1919448341675363
163,East,650,0.03497046698601967
164,East,484,0.1714927584151397
165,West,109,0.09130777425126428
166,West,679,0.3666980040518771
167,East,717,0.45657505944828636
168,East,300,0.6671149717480449
169,West,742,0.14338743196235013
170,North,217,0.0834121088876518
171,East,178,0.46855923231056223
172,East,139,0.20058075434801959
173,East,510,0.24983327452365794
174,East,282,0.5047925381144583
