transaction_id,customer_id,region,category,transaction_date,amount,campaign
1,4910,East,Grocery,2025-11-09,430.93,none
2,673,West,Grocery,2025-02-11,238.47,none
3,1466,East,Grocery,2025-06-08,126.14,none
4,4512,Central,Home & Kitchen,2025-04-24,178.55,none
5,2608,East,Beauty,2025-08-29,1007.9,none
6,2209,North,Sports,2024-08-25,379.9,none
7,2437,Central,Home & Kitchen,2024-07-10,427.2,none
8,509,East,Grocery,2024-01-11,127.41,none
9,1132,Central,Grocery,2025-12-14,1028.32,none
10,5013,North,Home & Kitchen,2025-04-03,160.49,none
11,3343,South,Home & Kitchen,2025-02-07,2629.17,none
12,1476,West,Sports,2024-04-10,3346.98,none
13,4941,West,Beauty,2025-04-08,939.46,none
14,2055,West,Grocery,2025-01-26,301.22,none
15,712,Central,Electronics,2025-12-30,9303.61,none
16,5031,Central,Electronics,2025-10-25,742.62,none
17,3462,North,Apparel,2024-01-26,393.69,none
18,3919,North,Grocery,2024-12-23,1114.28,none
19,113,North,Electronics,2025-05-11,1676.72,none
20,1458,East,Electronics,2024-04-26,562.57,none
21,4933,East,Home & Kitchen,2025-09-14,2094.65,none
22,789,Central,Grocery,2025-01-23,112.37,none
23,4552,South,Beauty,2025-12-25,1378.56,none
24,4017,West,Home & Kitchen,2024-03-13,748.75,none
25,1952,North,Grocery,2024-09-19,208.51,none
26,4623,Central,Grocery,2025-08-07,309.64,none
27,4812,East,Electronics,2024-09-29,854.24,none
28,4517,West,Beauty,2025-01-19,245.38,none
29,2107,West,Electronics,2024-04-03,11675.0,none
30,3050,Central,Electronics,2024-10-07,538.74,none
31,1575,East,Grocery,2024-03-14,363.73,none
32,654,West,Grocery,2025-02-04,145.87,none
33,4705,North,Electronics,2025-08-25,543.82,none
34,5110,South,Apparel,2024-05-23,60.36,none
35,304,North,Grocery,2024-01-05,404.3,none
36,3578,East,Beauty,2024-08-08,1366.14,none
37,4952,West,Electronics,2025-10-12,1618.08,none
38,3155,West,Apparel,2024-09-08,2418.68,none
39,243,South,Electronics,2024-08-10,1719.06,none
40,77,North,Electronics,2025-04-04,844.1,none
41,2598,Central,Grocery,2025-08-21,550.27,none
42,4906,North,Sports,2025-03-09,737.67,A_flat10
43,1439,West,Home & Kitchen,2024-07-04,1512.61,none
44,1813,East,Apparel,2024-03-28,1293.47,none
45,4143,South,Electronics,2025-03-04,1369.66,A_flat10
