customer_id,recency_days,frequency,monetary,R,F,M,rfm_score,segment
1,17,9,14178.24,5,3,4,12,Loyal Customers
2,5,8,4249.02,5,2,2,9,Potential Loyalists
3,16,20,39697.05,5,5,5,15,Champions
4,109,8,3634.19,2,2,2,6,At Risk
5,100,10,9388.41,2,3,4,9,Potential Loyalists
6,20,15,12507.6,4,4,4,12,Loyal Customers
7,45,7,3584.68,3,2,2,7,Potential Loyalists
8,80,6,9898.63,2,2,4,8,Potential Loyalists
9,3,14,8729.41,5,4,3,12,Loyal Customers
10,1,12,20347.52,5,4,5,14,Champions
11,93,8,4405.53,2,2,2,6,At Risk
12,113,10,11028.86,2,3,4,9,Potential Loyalists
13,49,16,30429.29,3,5,5,13,Champions
14,98,6,2832.58,2,2,1,5,At Risk
15,60,11,8430.24,3,3,3,9,Potential Loyalists
16,22,11,4641.33,4,3,2,9,Potential Loyalists
17,225,7,3558.0699999999997,1,2,2,5,At Risk
18,185,4,1135.17,1,1,1,3,Hibernating
19,23,17,10456.06,4,5,4,13,Champions
20,55,12,26319.93,3,4,5,12,Loyal Customers
21,20,17,9709.66,4,5,4,13,Champions
22,90,9,4438.67,2,3,2,7,Potential Loyalists
23,69,12,8119.0,3,4,3,10,Loyal Customers
24,93,5,10970.58,2,1,4,7,Potential Loyalists
25,11,12,10782.380000000001,5,4,4,13,Champions
26,62,8,5611.26,3,2,2,7,Potential Loyalists
27,85,5,4238.74,2,1,2,5,At Risk
28,172,10,4206.99,1,3,2,6,At Risk
29,20,10,32904.759999999995,4,3,5,12,Loyal Customers
30,29,11,6184.889999999999,4,3,3,10,Loyal Customers
31,208,9,5740.450000000001,1,3,2,6,At Risk
32,70,16,6836.9400000000005,3,5,3,11,Loyal Customers
33,32,11,12142.24,4,3,4,11,Loyal Customers
34,93,3,3259.85,2,1,1,4,Hibernating
35,1,18,15065.27,5,5,5,15,Champions
36,128,3,2890.0,2,1,1,4,Hibernating
37,255,3,4330.48,1,1,2,4,Hibernating
38,14,22,16525.8,5,5,5,15,Champions
39,37,7,4563.95,4,2,2,8,Potential Loyalists
40,90,17,15434.91,2,5,5,12,Loyal Customers
41,8,18,13220.48,5,5,4,14,Champions
42,212,15,22778.35,1,4,5,10,Loyal Customers
43,128,13,12612.51,2,4,4,10,Loyal Customers
45,228,4,8563.75,1,1,3,5,At Risk
46,301,3,2935.89,1,1,1,3,Hibernating
47,23,15,16482.25,4,4,5,13,Champions
48,188,15,8802.14,1,4,4,9,Potential Loyalists
49,131,4,4637.74,2,1,2,5,At Risk
50,43,10,8205.16,3,3,3,9,Potential Loyalists
51,38,16,11385.1,4,5,4,13,Champions
52,6,8,8900.3,5,2,4,11,Loyal Customers
53,6,17,14677.75,5,5,5,15,Champions
54,8,8,16213.28,5,2,5,12,Loyal Customers
55,20,10,5271.06,4,3,2,9,Potential Loyalists
56,74,7,5036.599999999999,3,2,2,7,Potential Loyalists
57,406,2,299.27,1,1,1,3,Hibernating
58,115,8,4283.74,2,2,2,6,At Risk
59,35,13,18043.52,4,4,5,13,Champions
60,21,5,10267.810000000001,4,1,4,9,Potential Loyalists
61,46,16,26617.11,3,5,5,13,Champions
62,552,2,1170.25,1,1,1,3,Hibernating
63,206,2,862.44,1,1,1,3,Hibernating
