employee_id,business_unit,job_role,age,gender,marital_status,education_field,distance_from_home_km,years_at_company,total_working_years,months_since_last_promotion,overtime,job_satisfaction,work_life_balance,performance_rating,stock_option_level,monthly_income,attrition
1,Finance,Senior Analyst,39,Female,Married,Human Resources,19,3,5,7,No,4,1,3,0,101900,No
2,Operations,Manager,21,Male,Married,Human Resources,26,0,8,14,No,4,4,4,3,123100,No
3,Customer Support,Analyst,23,Male,Married,Technical Degree,20,16,20,12,Yes,4,4,3,0,76100,No
4,Sales-West,Analyst,48,Female,Married,Business,21,0,3,7,No,3,2,4,1,56900,No
5,R&D-Core,Associate,47,Male,Divorced,Marketing,5,7,15,4,No,4,3,4,1,56800,No
6,Customer Support,Associate,31,Male,Married,Business,13,0,6,12,No,3,3,3,1,40400,No
7,Sales-East,Analyst,38,Female,Married,Other,12,5,7,16,Yes,2,3,3,1,73700,Yes
8,Customer Support,Analyst,51,Female,Divorced,Life Sciences,20,15,19,11,No,1,3,4,3,90100,Yes
9,Customer Support,Analyst,47,Female,Single,Business,6,12,20,9,Yes,4,2,3,0,78800,No
10,R&D-Platform,Senior Analyst,40,Male,Divorced,Other,3,1,10,11,Yes,1,3,4,1,91500,No
11,R&D-Core,Analyst,54,Female,Married,Technical Degree,10,3,8,20,Yes,4,2,3,0,62700,No
12,Sales-West,Analyst,41,Male,Married,Life Sciences,12,0,0,1,No,4,4,3,2,61500,Yes
13,Sales-West,Representative,21,Male,Divorced,Life Sciences,5,2,10,12,No,2,4,3,1,32900,No
14,R&D-Platform,Associate,38,Male,Married,Technical Degree,25,15,23,16,No,4,2,3,0,75800,No
15,R&D-Platform,Manager,30,Female,Divorced,Technical Degree,19,5,5,3,No,3,3,3,0,133900,No
16,HR,Analyst,47,Female,Divorced,Human Resources,14,0,0,3,No,4,3,3,1,68000,No
17,Operations,Manager,25,Male,Single,Marketing,14,3,5,11,Yes,4,2,3,2,162900,No
18,Customer Support,Analyst,59,Male,Married,Business,17,1,9,17,No,1,4,3,0,73000,No
19,Finance,Associate,44,Female,Married,Life Sciences,5,0,0,5,Yes,2,3,3,0,44900,Yes
20,Operations,Associate,52,Female,Single,Life Sciences,17,3,3,8,Yes,4,3,3,1,50000,No
21,Sales-West,Manager,38,Male,Married,Life Sciences,4,13,22,2,No,3,2,3,0,166100,No
22,Sales-West,Analyst,23,Male,Divorced,Business,28,5,11,9,No,1,3,3,0,71500,Yes
23,HR,Senior Analyst,38,Male,Single,Marketing,28,4,7,6,No,3,1,3,1,86300,No
24,Sales-East,Analyst,40,Female,Single,Technical Degree,6,1,2,12,No,2,4,3,0,49000,No
25,Sales-East,Associate,37,Male,Single,Business,6,3,12,10,Yes,3,4,3,1,50900,Yes
26,R&D-Platform,Associate,30,Male,Married,Life Sciences,20,6,13,13,No,1,3,3,0,53400,Yes
27,R&D-Platform,Senior Analyst,29,Male,Single,Business,19,1,9,6,No,3,4,4,2,103000,No
28,Operations,Analyst,24,Male,Married,Marketing,14,5,7,16,No,4,4,3,2,83300,No
29,Finance,Senior Analyst,40,Male,Divorced,Life Sciences,25,2,10,13,Yes,3,3,3,1,76100,No
30,R&D-Platform,Representative,28,Male,Married,Human Resources,7,8,8,9,No,2,1,3,2,38800,Yes
31,R&D-Platform,Representative,45,Female,Married,Technical Degree,26,6,10,4,No,4,4,3,1,45000,Yes
32,Sales-West,Executive,30,Male,Single,Life Sciences,2,10,18,15,No,3,3,4,0,265700,No
33,Sales-East,Analyst,37,Female,Single,Human Resources,26,2,5,11,No,4,3,3,1,64600,No
34,Sales-West,Associate,58,Female,Divorced,Other,18,0,5,4,Yes,4,3,3,2,45300,No
35,Finance,Senior Analyst,41,Male,Married,Marketing,2,0,5,13,No,2,3,3,1,67100,No
36,Sales-West,Executive,50,Male,Divorced,Life Sciences,6,2,10,1,No,4,3,3,2,240900,No
37,R&D-Core,Executive,47,Male,Married,Human Resources,29,1,6,5,No,1,3,3,0,170700,No
38,Sales-East,Associate,54,Female,Married,Marketing,17,14,21,17,No,2,2,3,1,68100,No
39,Customer Support,Executive,23,Female,Married,Business,17,1,6,15,Yes,3,1,3,1,192800,No
40,Sales-East,Senior Analyst,48,Female,Single,Marketing,13,7,7,14,No,1,3,3,1,92400,No
41,Sales-West,Associate,30,Male,Single,Marketing,23,10,14,12,Yes,2,1,3,0,64300,Yes
42,Operations,Manager,33,Female,Married,Life Sciences,12,2,2,10,No,4,3,4,0,148600,No
43,R&D-Platform,Associate,56,Female,Single,Life Sciences,5,2,10,4,No,2,4,4,0,47500,No
44,Customer Support,Analyst,36,Male,Single,Other,26,2,9,20,No,4,4,3,0,64700,No
45,Finance,Senior Analyst,41,Female,Single,Business,6,2,7,13,No,4,3,3,0,97000,No
46,Customer Support,Analyst,38,Male,Single,Other,3,1,9,11,No,3,3,3,0,68800,No
47,Sales-East,Senior Analyst,25,Female,Married,Life Sciences,26,1,8,17,No,4,3,3,0,96300,Yes
48,HR,Associate,32,Female,Single,Other,17,9,10,11,Yes,2,3,3,1,51400,No
49,R&D-Platform,Analyst,26,Female,Married,Human Resources,21,3,7,8,No,1,4,3,3,58500,No
50,Customer Support,Senior Analyst,37,Male,Married,Marketing,13,6,14,6,Yes,4,4,3,0,94000,No
51,R&D-Core,Manager,21,Female,Married,Human Resources,22,16,21,9,Yes,2,2,4,0,122900,No
52,HR,Analyst,51,Male,Single,Business,5,1,1,6,Yes,2,3,3,1,52500,Yes
53,Sales-East,Representative,41,Male,Divorced,Technical Degree,22,1,8,15,Yes,3,3,3,1,35300,No
54,R&D-Core,Representative,23,Male,Married,Technical Degree,12,1,8,6,Yes,4,3,4,0,33300,Yes
55,R&D-Core,Manager,59,Male,Divorced,Other,28,0,1,13,Yes,3,3,3,2,108500,Yes
56,Sales-East,Senior Analyst,31,Female,Single,Marketing,26,0,6,16,Yes,4,2,3,0,93700,Yes
57,Customer Support,Analyst,34,Male,Single,Business,17,1,7,12,Yes,2,2,3,1,64200,Yes
58,R&D-Core,Analyst,39,Male,Single,Business,6,9,12,1,No,4,4,3,1,83400,No
59,Operations,Manager,41,Male,Divorced,Life Sciences,18,1,1,11,Yes,4,3,3,3,121300,No
60,HR,Manager,47,Female,Married,Life Sciences,20,0,3,15,No,3,2,3,0,114300,No
61,HR,Analyst,41,Male,Divorced,Life Sciences,28,4,9,18,No,3,4,3,1,60600,No
62,Finance,Associate,46,Male,Married,Life Sciences,8,4,7,10,No,3,3,3,2,51800,No
63,Finance,Associate,33,Female,Single,Technical Degree,18,7,11,7,Yes,2,3,3,3,43200,No
64,Sales-East,Associate,49,Female,Married,Other,16,2,6,14,No,2,3,3,1,43000,Yes
65,R&D-Platform,Associate,54,Female,Married,Business,20,4,8,2,Yes,4,3,3,2,53800,No
66,Sales-West,Executive,25,Female,Married,Technical Degree,16,0,5,3,No,1,2,3,0,197600,No
67,R&D-Core,Senior Analyst,25,Male,Married,Business,4,3,8,11,Yes,3,2,3,1,92000,No
68,Sales-East,Senior Analyst,28,Female,Single,Business,3,13,14,11,No,3,3,3,0,102600,No
69,Operations,Senior Analyst,33,Female,Divorced,Life Sciences,22,1,6,16,No,4,3,3,1,93300,No
70,Sales-West,Senior Analyst,33,Female,Married,Technical Degree,24,2,2,9,No,3,3,3,1,82500,No
71,Finance,Analyst,51,Female,Married,Business,29,0,3,14,No,2,4,3,0,59200,No
72,R&D-Core,Senior Analyst,31,Male,Married,Life Sciences,11,5,10,13,No,3,2,3,2,87000,No
73,Customer Support,Executive,55,Male,Single,Human Resources,6,1,1,16,Yes,1,2,3,2,224200,No
74,Finance,Associate,50,Female,Married,Technical Degree,7,1,2,8,Yes,2,1,3,0,54300,No
75,Sales-East,Representative,57,Female,Married,Technical Degree,4,0,1,19,No,4,4,3,2,31600,No
76,Customer Support,Analyst,59,Male,Married,Marketing,7,8,8,17,No,2,3,3,1,64500,No
77,Operations,Senior Analyst,23,Male,Single,Human Resources,14,5,7,11,No,2,3,3,2,97200,Yes
78,Operations,Analyst,47,Male,Single,Life Sciences,29,2,4,14,No,4,3,3,0,68200,No
79,HR,Representative,54,Male,Divorced,Business,7,1,6,13,No,2,1,4,0,41200,Yes
80,Sales-East,Analyst,22,Female,Married,Life Sciences,28,3,4,24,No,3,4,3,1,65000,No
81,Sales-West,Associate,27,Male,Married,Technical Degree,10,1,2,7,No,4,4,3,2,39800,No
82,Operations,Associate,32,Female,Married,Technical Degree,14,2,10,9,Yes,1,2,4,0,49300,No
83,HR,Representative,29,Male,Divorced,Other,25,2,6,17,No,3,2,3,1,38200,No
84,Sales-West,Analyst,52,Male,Single,Marketing,8,0,2,3,No,4,4,3,0,49100,No
85,Operations,Manager,26,Male,Divorced,Life Sciences,26,3,9,13,No,4,3,3,1,126900,No
86,Finance,Analyst,57,Female,Single,Technical Degree,21,12,18,8,No,3,2,4,1,78800,No
87,HR,Representative,34,Male,Married,Other,7,3,9,5,No,4,4,3,0,33900,No
88,R&D-Core,Manager,44,Male,Single,Other,2,3,3,19,No,1,4,3,2,134200,Yes
89,R&D-Core,Manager,36,Female,Single,Life Sciences,1,0,5,5,No,1,3,3,2,134500,No
90,Sales-West,Manager,34,Female,Married,Business,25,1,7,1,No,1,3,3,0,138000,Yes
